player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
103373,Sergio,Roitman,R,19790516.0,ARG,185.0,Q703815
103385,Paul,Baccanello,R,19790612.0,AUS,183.0,Q7149176
103387,Paradorn,Srichaphan,R,19790614.0,THA,185.0,Q140253
103393,Yuri,Schukin,R,19790626.0,KAZ,188.0,Q1355800
103395,Julio,Silva,R,19790701.0,BRA,173.0,Q2157499
103397,Alexandre,Simoni,R,19790702.0,BRA,188.0,Q4179068
103401,Jan,Hernych,R,19790707.0,CZE,190.0,Q358656
103403,Takahiro,Terachi,R,19790708.0,JPN,,Q11457743
103408,Brian,Vahaly,R,19790719.0,USA,183.0,Q4965531
103420,Michal,Tabara,R,19790811.0,CZE,175.0,Q1930473
103424,Tobias,Clemens,R,19790814.0,GER,185.0,Q7811616
103428,Juan Ignacio,Chela,R,19790830.0,ARG,190.0,Q299377
103429,Peter,Luczak,R,19790831.0,AUS,183.0,Q358712
103435,Massimo,Dellacqua,R,19790906.0,ITA,193.0,Q29613516
103444,Jean Rene,Lisnard,R,19790925.0,MON,173.0,Q629521
103448,Gabriel,Trujillo Soler,R,19790930.0,ESP,,Q3756499
103451,Bjorn,Phau,R,19791004.0,GER,175.0,Q77150
103454,Nicolas,Massu,R,19791010.0,CHI,183.0,Q295858
103455,Michal,Mertinak,R,19791011.0,SVK,180.0,Q718719
103457,Petr,Kralert,R,19791020.0,CZE,188.0,Q7178542
103470,Robert,Kendrick,R,19791115.0,USA,190.0,Q54525
103478,Diego,Veronelli,R,19791205.0,ARG,193.0,Q3027454
103484,James,Blake,R,19791228.0,USA,185.0,Q53333
103487,Federico,Luzzi,R,19800103.0,ITA,188.0,Q1332955
103490,Santiago,Ventura,R,19800105.0,ESP,183.0,Q367978
103498,Marat,Safin,R,19800127.0,RUS,193.0,Q133318
103503,Robin,Vik,R,19800205.0,CZE,183.0,Q3174234
103506,Martin,Vassallo Arguello,R,19800210.0,ARG,183.0,Q513713
103507,Juan Carlos,Ferrero,R,19800212.0,ESP,183.0,Q185722
103516,Nathan,Healey,R,19800227.0,AUS,180.0,Q531724
103521,Andrea,Stoppini,R,19800229.0,ITA,190.0,Q4755289
103523,Rohan,Bopanna,R,19800304.0,IND,193.0,Q511986
103525,Ivan,Miranda,R,19800308.0,PER,175.0,Q734183
103527,Julien,Jeanpierre,R,19800310.0,FRA,188.0,Q3189535
103529,Aisam Ul Haq,Qureshi,R,19800317.0,PAK,183.0,Q409547
103530,Zack,Fleishman,R,19800317.0,USA,188.0,Q4179332
103534,Nicolas,Devilder,L,19800325.0,FRA,173.0,Q715412
103535,Olivier,Patience,R,19800325.0,FRA,180.0,Q2447911
103538,James,Auckland,R,19800401.0,GBR,,Q13402407
103543,David,Marrero,R,19800408.0,ESP,183.0,Q512421
103544,Andy,Ram,R,19800410.0,ISR,180.0,Q335318
103553,Alun,Jones,R,19800426.0,AUS,180.0,Q4737498
