tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2000-495,Dubai,Hard,32,A,20000207,31,103017,1,,Nicolas Kiefer,R,183,GER,22.5,103507,,,Juan Carlos Ferrero,R,183,ESP,19.9,7-5 4-6 6-3,3,F,147,11,6,99,48,42,19,16,1,4,1,4,94,52,32,26,15,8,12,4,2325,39,881
2017-0495,Dubai,Hard,32,A,20170227,300,104918,1,,Andy Murray,R,190,GBR,29.7,104269,,,Fernando Verdasco,L,188,ESP,33.2,6-3 6-2,3,F,73,2,4,45,25,20,12,9,1,3,4,0,52,41,17,5,8,3,8,1,11540,35,1070
2006-495,Dubai,Hard,32,A,20060227,31,104745,2,,Rafael Nadal,L,185,ESP,19.7,103819,1,,Roger Federer,R,185,SUI,24.5,2-6 6-4 6-4,3,F,113,1,1,80,56,38,13,14,0,3,9,0,69,41,33,16,14,2,5,2,4455,1,6725
2010-495,Dubai,Hard,32,A,20100222,31,104925,2,,Novak Djokovic,R,188,SRB,22.7,104022,7,,Mikhail Youzhny,R,183,RUS,27.6,7-5 5-7 6-3,3,F,202,5,12,107,56,40,21,17,6,12,1,2,108,72,39,17,16,4,11,2,8310,15,1975
2023-0495,Dubai,Hard,32,A,20230227,300,106421,3,,Daniil Medvedev,R,198,RUS,27,126094,2,,Andrey Rublev,R,188,RUS,25.3,6-2 6-2,3,F,68,9,1,40,29,24,8,8,0,0,3,1,54,33,21,6,8,3,7,7,3320,6,3405
2005-495,Dubai,Hard,32,A,20050221,31,103819,1,,Roger Federer,R,185,SUI,23.5,103344,8,,Ivan Ljubicic,R,193,CRO,25.9,6-1 6-7(6) 6-3,3,F,136,6,2,102,63,43,25,15,5,7,5,0,89,48,37,15,13,2,7,1,6050,14,1440
2012-495,Dubai,Hard,32,A,20120227,31,103819,2,,Roger Federer,R,185,SUI,30.5,104918,3,,Andy Murray,R,190,GBR,24.7,7-5 6-4,3,F,97,4,2,64,32,24,21,11,2,3,7,3,66,32,21,19,11,6,9,3,8235,4,7150
2019-0495,Dubai,Hard,32,A,20190225,300,103819,2,,Roger Federer,R,185,SUI,37.5,126774,5,,Stefanos Tsitsipas,R,193,GRE,20.5,6-4 6-4,3,F,69,6,0,55,42,35,8,10,2,2,4,2,54,37,26,9,10,0,2,7,4100,11,2965
2011-495,Dubai,Hard,32,A,20110221,31,104925,2,,Novak Djokovic,R,188,SRB,23.7,103819,1,,Roger Federer,R,185,SUI,29.5,6-3 6-3,3,F,72,5,0,49,33,27,9,9,1,2,5,1,58,35,22,9,9,6,10,3,7880,2,7965
2001-495,Dubai,Hard,32,A,20010226,31,103507,7,,Juan Carlos Ferrero,R,183,ESP,21,103498,1,,Marat Safin,R,193,RUS,21,6-2 3-1 RET,3,F,52,0,0,36,22,17,8,6,0,0,0,2,47,39,20,4,7,6,9,16,1645,2,4265
2003-495,Dubai,Hard,32,A,20030224,31,103819,1,,Roger Federer,R,185,SUI,21.5,102562,3,,Jiri Novak,R,190,CZE,27.9,6-1 7-6(2),3,F,76,3,4,59,23,16,21,10,0,2,0,1,63,39,19,13,9,5,9,5,2580,10,1921
1999-495,Dubai,Hard,32,A,19990208,31,102259,,,Jerome Golmard,L,188,FRA,25.4,103017,,,Nicolas Kiefer,R,183,GER,21.5,6-4 6-2,3,F,78,1,1,49,26,21,16,9,2,2,7,7,56,22,18,16,9,2,5,61,750,,
2020-0495,Dubai,Hard,32,A,20200224,300,104925,1,,Novak Djokovic,R,188,SRB,32.7,126774,2,,Stefanos Tsitsipas,R,193,GRE,21.5,6-3 6-4,3,F,77,2,0,57,36,28,12,10,1,2,8,3,48,31,24,4,9,0,3,1,9720,6,4745
2021-0495,Dubai,Hard,64,A,20210315,300,106234,,WC,Aslan Karatsev,R,185,RUS,27.5,144750,,Q,Lloyd Harris,R,193,RSA,24,6-3 6-2,3,F,75,3,2,58,36,30,11,9,2,2,8,1,48,36,26,2,8,5,8,42,1395,81,885
2007-495,Dubai,Hard,32,A,20070226,31,103819,1,,Roger Federer,R,185,SUI,25.5,104022,,,Mikhail Youzhny,R,183,RUS,24.6,6-4 6-3,3,F,85,4,0,51,29,23,12,10,0,2,3,4,73,38,23,15,9,14,18,1,8120,18,1440
2018-0495,Dubai,Hard,32,A,20180226,300,105138,3,,Roberto Bautista Agut,R,183,ESP,29.8,106298,2,,Lucas Pouille,R,185,FRA,24,6-3 6-4,3,F,81,1,0,58,43,31,10,10,3,4,4,2,57,28,17,14,9,6,9,23,1845,15,2335
2024-0495,Dubai,Hard,32,A,20240226,300,200005,5,,Ugo Humbert,L,188,FRA,25.6,122330,7,,Alexander Bublik,R,196,KAZ,26.6,6-4 6-3,3,F,85,9,0,62,45,33,11,10,2,2,8,6,63,39,26,12,9,4,6,18,1990,23,1699
2004-495,Dubai,Hard,32,A,20040301,31,103819,1,,Roger Federer,R,185,SUI,22.5,103852,,,Feliciano Lopez,L,188,ESP,22.4,4-6 6-1 6-2,3,F,95,6,0,67,43,34,17,13,0,1,7,3,91,50,33,18,12,9,13,1,4930,32,1005
2016-0495,Dubai,Hard,32,A,20160222,300,104527,2,,Stan Wawrinka,R,183,SUI,30.9,104571,,,Marcos Baghdatis,R,183,CYP,30.6,6-4 7-6(13),3,F,114,2,4,76,48,37,17,11,1,2,4,7,78,36,27,25,11,4,6,4,5870,57,805
2002-495,Dubai,Hard,32,A,20020225,31,102148,,,Fabrice Santoro,R,178,FRA,29.2,101962,,,Younes El Aynaoui,R,193,MAR,30.4,6-4 3-6 6-3,3,F,138,2,5,109,75,52,15,14,13,15,8,2,90,62,47,13,14,5,8,26,1180,21,1268
2008-495,Dubai,Hard,32,A,20080303,31,104053,6,,Andy Roddick,R,188,USA,25.5,103852,,,Feliciano Lopez,L,188,ESP,26.4,6-7(8) 6-4 6-2,3,F,115,22,1,84,55,48,19,15,0,0,24,2,95,62,45,18,15,4,7,6,2140,41,785
2015-495,Dubai,Hard,32,A,20150223,31,103819,2,,Roger Federer,R,185,SUI,33.5,104925,1,,Novak Djokovic,R,188,SRB,27.7,6-3 7-5,3,F,84,12,1,79,51,41,11,11,7,7,1,2,62,39,27,12,10,0,2,2,9205,1,13045
2014-495,Dubai,Hard,32,A,20140224,31,103819,4,,Roger Federer,R,185,SUI,32.5,104607,3,,Tomas Berdych,R,196,CZE,28.4,3-6 6-4 6-3,3,F,119,8,1,84,43,36,19,14,7,10,5,1,85,41,27,20,14,6,10,8,4305,6,4890
2005-615,Dusseldorf,Clay,32,A,20050516,8,103163,,,Tommy Haas,R,188,GER,27.1,103292,,,Gaston Gaudio,R,175,ARG,26.4,6-4 6-3,3,F,98,4,3,66,37,29,11,10,6,8,3,3,75,47,27,12,9,9,13,22,1215,6,2440
2005-615,Dusseldorf,Clay,32,A,20050516,3,103909,,,Guillermo Coria,R,175,ARG,23.3,104252,,,Florian Mayer,R,190,GER,21.6,6-1 6-1,3,F,51,2,3,48,30,21,7,7,5,7,2,1,38,25,8,1,7,1,8,9,2040,54,715
2009-615,Dusseldorf,Clay,32,A,20090517,12,104678,,,Viktor Troicki,R,193,SRB,23.2,102783,,,Rainer Schuettler,R,180,GER,33,6-4 7-6(5),3,F,116,3,1,90,57,43,13,11,4,5,1,2,72,44,30,17,11,7,9,37,1437,29,1645
2009-615,Dusseldorf,Clay,32,A,20090517,10,104386,,,Janko Tipsarevic,R,180,SRB,24.9,104259,,,Philipp Kohlschreiber,R,178,GER,25.5,6-2 6-4,3,F,74,6,1,51,31,27,9,9,2,3,7,0,55,39,19,11,9,4,8,72,935,31,1590
2006-615,Dusseldorf,Clay,32,A,20060522,299,103344,,,Ivan Ljubicic,R,193,CRO,27.1,103017,,,Nicolas Kiefer,R,183,GER,28.8,6-4 6-4,3,F,,,,,,,,,,,,,,,,,,,,4,2610,13,1590
2012-615,Dusseldorf,Clay,64,A,20120521,513,104386,,,Janko Tipsarevic,R,180,SRB,27.9,104607,,,Tomas Berdych,R,196,CZE,26.6,7-5 7-6(8),3,F,145,3,0,86,52,37,20,15,1,4,8,3,110,70,45,19,16,9,13,8,3010,7,4500
2000-615,Dusseldorf,Clay,64,A,20000521,4,102344,,,Karol Kucera,R,188,SVK,26.2,103498,,,Marat Safin,R,193,RUS,20.3,6-3 6-2,3,F,65,6,5,77,46,31,14,8,8,9,1,1,64,31,14,16,9,5,10,37,845,12,1732
2000-615,Dusseldorf,Clay,64,A,20000521,8,103103,,,Dominik Hrbaty,R,183,SVK,22.3,102338,,,Yevgeny Kafelnikov,R,190,RUS,26.2,6-4 7-6(1),3,F,151,0,4,78,39,29,19,11,1,3,7,3,63,30,20,18,11,2,5,14,1408,4,2758
2004-615,Dusseldorf,Clay,64,A,20040517,7,103602,,,Fernando Gonzalez,R,183,CHI,23.8,103720,,,Lleyton Hewitt,R,180,AUS,23.2,7-5 6-2,3,F,88,4,2,62,43,34,12,10,4,4,4,2,70,49,32,9,10,10,13,16,1380,12,1525
2010-615,Dusseldorf,Clay,32,A,20100516,7,104338,,,Juan Monaco,R,185,ARG,26.1,105023,,,Sam Querrey,R,198,USA,22.6,1-6 6-2 6-3,3,F,95,1,1,84,57,35,12,12,7,12,5,2,70,46,26,9,12,8,14,30,1425,21,1675
2003-615,Dusseldorf,Clay,64,A,20030519,12,103602,,,Fernando Gonzalez,R,183,CHI,22.8,102562,,,Jiri Novak,R,190,CZE,28.1,7-6(4) 7-6(5),3,F,182,8,6,84,48,37,14,12,5,9,1,3,108,79,48,12,12,5,9,20,1276,14,1731
2010-615,Dusseldorf,Clay,32,A,20100516,13,104547,,,Horacio Zeballos,L,188,ARG,25,104068,,,Robby Ginepri,R,183,USA,27.6,6-4 6-7(7) 7-5,3,F,140,8,2,89,59,47,25,17,0,1,6,3,118,64,47,28,17,7,10,49,868,98,532
2012-615,Dusseldorf,Clay,64,A,20120521,518,104678,,,Viktor Troicki,R,193,SRB,26.2,103285,,,Radek Stepanek,R,185,CZE,33.4,2-6 6-4 6-3,3,F,145,3,0,86,52,37,20,15,1,4,8,3,110,70,45,19,16,9,13,31,1195,26,1340
